,user,text,created_at,compound,positive,neutral,negative
0,CBS,RT if that musical number by the cast of Carousel blew you away! #TonyAwards https://t.co/CMzMNtcAQO,2018-06-11 01:08:28+00:00,0.1511,0.102,0.898,0.0
1,CBS,RT @McBenefit: I love everything about you @UzoAduba. #TonyAwards,2018-06-11 01:12:31+00:00,0.6369,0.375,0.625,0.0
2,CBS,So many feels at the #TonyAwards. Congratulations to @arielstachel for winning Best Featured Actor in a Musical!… https://t.co/m1aRNIHPRK,2018-06-11 01:19:59+00:00,0.9151,0.457,0.543,0.0
3,CBS,.@Matt_Morrison welcomes the Marjory Stoneman Douglas High School theatre department to the stage. #TonyAwards https://t.co/5dxa9smeka,2018-06-11 01:24:12+00:00,0.4019,0.162,0.838,0.0
4,CBS,Such a touching moment at the #TonyAwards. ❤️ https://t.co/4kJWTHVPZ8,2018-06-11 01:24:46+00:00,0.0,0.0,1.0,0.0
5,CBS,RT @KatLargent: MAGIC #TonyAwards,2018-06-11 01:25:59+00:00,0.0,0.0,1.0,0.0
6,CBS,RT @IzzyNY202: How impressive are these Marjory Stoneman Douglas students? That #TonyAwards performance reduced me to tears. Amazing.,2018-06-11 01:26:03+00:00,0.7351,0.296,0.625,0.079
7,CBS,.@SaraBareilles is totally a Gryffindor. #TonyAwards https://t.co/OPQ7esk2dn,2018-06-11 01:29:21+00:00,0.0,0.0,1.0,0.0
8,CBS,Glenda Jackson wins Best Leading Actress in a Play. #TonyAwards @threetallwomen https://t.co/GRp1gcBuiW,2018-06-11 01:30:56+00:00,0.8834,0.563,0.437,0.0
9,CBS,RT @anna_villanueva: Magnificent performance from the cast of @FrozenBroadway! #TonyAwards2018 #TonyAwards #Tonys,2018-06-11 01:37:36+00:00,0.636,0.276,0.724,0.0
10,CBS,If only this performance could go on forever. #TonyAwards @FrozenBroadway https://t.co/p2BMUvyTxr,2018-06-11 01:38:23+00:00,0.0,0.0,1.0,0.0
11,CBS,"RT @Valerie4815: What a birthday present, the Tony audience singing happy birthday to you!! #TonyAwards",2018-06-11 01:51:16+00:00,0.6467,0.248,0.752,0.0
12,CBS,RT @hjmayer8: I sure do love @DearEvanHansen 💙 #TonyAwards,2018-06-11 01:53:17+00:00,0.7579,0.565,0.435,0.0
13,CBS,@writerlindsayb You're welcome! #TonyAwards,2018-06-11 01:58:48+00:00,0.5093,0.523,0.477,0.0
14,CBS,Hope he brought enough birthday cake for everyone! #TonyAwards https://t.co/FlLbKV6oj8,2018-06-11 02:03:31+00:00,0.4926,0.262,0.738,0.0
15,CBS,🎶 “Let's dance this last dance tonight.” 🎶 #TonyAwards #DonnaSummerMusical https://t.co/UAIaglChfv,2018-06-11 02:05:47+00:00,0.0,0.0,1.0,0.0
16,CBS,Harry Potter and the Cursed Child wins Best Play at the #TonyAwards! @HPPlayNYC https://t.co/WIqJQmtAlN,2018-06-11 02:11:03+00:00,0.8908,0.491,0.509,0.0
17,CBS,That performance was the GOAT. #TonyAwards https://t.co/mtoU92HipQ,2018-06-11 02:16:06+00:00,0.0,0.0,1.0,0.0
18,CBS,"RT @leahableson: The Once On This Island Goat And Chicken made it to the broadcast, Mama WILL provide #TonyAwards",2018-06-11 02:21:03+00:00,0.0,0.0,1.0,0.0
19,CBS,Angels in America takes the win for Best Revival of a Play! #TonyAwards https://t.co/zodW61tw8a,2018-06-11 02:23:56+00:00,0.8932,0.517,0.483,0.0
20,CBS,"""I'm a living example of how theatre can change you - and it didn't just change me, it saved me."" @JohnLeguizamo at… https://t.co/4ICwMhb6hv",2018-06-11 02:29:18+00:00,0.4215,0.123,0.877,0.0
21,CBS,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf,2018-06-11 02:33:09+00:00,0.5994,0.302,0.698,0.0
22,CBS,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh,2018-06-11 02:44:37+00:00,0.9523,0.55,0.45,0.0
23,CBS,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq,2018-06-11 02:44:50+00:00,0.7978,0.543,0.457,0.0
24,CBS,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.,2018-06-11 02:47:29+00:00,0.6369,0.318,0.682,0.0
25,CBS,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn,2018-06-11 02:53:00+00:00,0.0,0.0,1.0,0.0
26,CBS,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5,2018-06-11 02:56:10+00:00,0.836,0.467,0.533,0.0
27,CBS,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩,2018-06-11 02:56:40+00:00,0.4404,0.153,0.847,0.0
28,CBS,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…",2018-06-11 02:58:30+00:00,0.0,0.0,1.0,0.0
